query,bm25_p@k,bm25_r@k,bm25_map,tfidf_p@k,tfidf_r@k,tfidf_map,sem_p@k,sem_r@k,sem_map
phone adapter screw problem,0.6,0.375,0.45550752828715313,0.2,0.125,0.1347766335215747,0.6,0.375,0.2864378532713288
tripod mount loose,0.6,0.3,0.2982251739116001,0.0,0.0,0.06686309816198438,0.4,0.2,0.1378641645721829
camera battery overheating,0.0,0.0,0.005474997016350399,0.0,0.0,0.0012350640977333432,0.4,1.0,1.0
charging cable doesn’t fit,0.2,0.07142857142857142,0.018626726095936984,0.0,0.0,0.004721597743061702,0.4,0.14285714285714285,0.09378903094383084
sd card read error,0.4,0.05128205128205128,0.07381005226390278,0.4,0.05128205128205128,0.06215528413913084,0.8,0.10256410256410256,0.16943851351003048
bluetooth connection failure,0.6,0.037037037037037035,0.04727921596001095,0.0,0.0,0.0346875472801233,1.0,0.06172839506172839,0.08646066992731344
